"Question","Answer","Mode"
"How to check exam schedule?","UMS Portal → Examinations → Date Sheet. Available 15 days before exams. Download PDF. Room numbers announced day before exam.","Academic"
"Tell me about exam schedule","UMS Portal → Examinations → Date Sheet. Available 15 days before exams. Download PDF. Room numbers announced day before exam.","Academic"
"How to check backlog clearance?","Apply for supplementary exam. Fee: ₹1,500/subject. Maximum 3 backlogs at a time. Clear before final year.","Academic"
"Tell me about backlog clearance","Apply for supplementary exam. Fee: ₹1,500/subject. Maximum 3 backlogs at a time. Clear before final year.","Academic"
"How to check CGPA requirements?","Minimum 5.0 CGPA to pass semester. 6.0+ for placements. 7.5+ for scholarships. 8.5+ for distinction.","Academic"
"Tell me about CGPA requirements","Minimum 5.0 CGPA to pass semester. 6.0+ for placements. 7.5+ for scholarships. 8.5+ for distinction.","Academic"
"How to check semester results?","Check UMS → Results. Calculate SGPA and CGPA. Download grade card. Check for UFM or AAA marks.","Academic"
"Tell me about semester results","Check UMS → Results. Calculate SGPA and CGPA. Download grade card. Check for UFM or AAA marks.","Academic"
"How to check project submission?","Submit via UMS/Turnitin before deadline. Plagiarism check mandatory. Below 20% similarity required. Late penalty: -10% per day.","Academic"
"Tell me about project submission","Submit via UMS/Turnitin before deadline. Plagiarism check mandatory. Below 20% similarity required. Late penalty: -10% per day.","Academic"
"How to check assignment deadlines?","Check UMS → Assignments → Due Date. Usually 1-2 weeks from posting. No late submissions accepted without prior approval.","Academic"
"Tell me about assignment deadlines","Check UMS → Assignments → Due Date. Usually 1-2 weeks from posting. No late submissions accepted without prior approval.","Academic"
"How to check library access?","24/7 during exams. Regular hours: 8 AM - 10 PM. Books: 15 days loan. Digital library: IEEE, Springer, Elsevier access.","Academic"
"Tell me about library access","24/7 during exams. Regular hours: 8 AM - 10 PM. Books: 15 days loan. Digital library: IEEE, Springer, Elsevier access.","Academic"
"How to check lab timings?","Monday-Friday: 9 AM - 5 PM. Saturday: 9 AM - 1 PM. Sunday closed. Some labs open 24/7 with permission.","Academic"
"Tell me about lab timings","Monday-Friday: 9 AM - 5 PM. Saturday: 9 AM - 1 PM. Sunday closed. Some labs open 24/7 with permission.","Academic"
"How to check teacher consultation?","Faculty cabin hours posted on door. Can email for appointment. Teacher-Guardian meets monthly. Office hours: as per timetable.","Academic"
"Tell me about teacher consultation","Faculty cabin hours posted on door. Can email for appointment. Teacher-Guardian meets monthly. Office hours: as per timetable.","Academic"
"How to check timetable?","Download from UMS → Academic → Timetable. Check room numbers. Practical batches announced separately.","Academic"
"Tell me about timetable","Download from UMS → Academic → Timetable. Check room numbers. Practical batches announced separately.","Academic"
"How to apply for admission?","Visit lpu.in → Apply Now → Fill form → Upload documents → Pay ₹1,000 fee → Submit. Receive application number. Track status online.","Admissions and Administration"
"What is eligibility for BTech?","10+2 with Physics, Mathematics, English. Minimum 60% marks. Valid JEE Main/LPUNEST score. Age: 17-25 years.","Admissions and Administration"
"Is there any entrance test?","Yes, LPUNEST (LPU National Entrance and Scholarship Test). Online/offline mode. Syllabus: 10+2 level. Can also use JEE Main/NEET scores.","Admissions and Administration"
"When is LPUNEST conducted?","Multiple slots from April to July. Choose your date. Results in 3 days. Valid for scholarship determination.","Admissions and Administration"
"Is there any scholarship?","Yes! Merit-based: 100% to 20% based on marks/rank. Sports: Up to 100% for national players. Need-based: For economically weaker sections. Apply during admission.","Admissions and Administration"
"What is the fee structure for BTech?","Tuition: ₹1,60,000/year. Application: ₹1,000. Admission: ₹25,000 (one-time). Total Year 1: ~₹1,86,000 + hostel (if opted). Scholarships can reduce up to 100%.","Admissions and Administration"
"What is hostel fee?","AC: ₹1,20,000/year. Non-AC: ₹80,000/year. Includes electricity, WiFi, laundry. Refundable security: ₹10,000. Mess separate: ₹45,000/year.","Admissions and Administration"
"What is mess fee?","₹45,000/year (₹3,750/month) for 3 meals daily. Vegetarian menu. Special diet on request. Paid semester-wise. Breakfast, lunch, dinner included.","Admissions and Administration"
"Can I pay fees in installments?","Yes! Two installments per semester. 50% at admission + 50% after 2 months. Late fee: ₹100/day after deadline. No EMI available.","Admissions and Administration"
"What is refund policy?","Before semester: 90% refund (10% processing). First week: 80% refund. Second week: 60% refund. After 2 weeks: No refund. Hostel/Mess: Prorated refund.","Admissions and Administration"
"How to pay fees online?","UMS → Fee Payment → Select semester → Choose payment method (Debit/Credit/Net Banking/UPI) → Pay → Save receipt. Generates automatic receipt.","Admissions and Administration"
"What documents required for admission?","10th marksheet, 12th marksheet, Transfer Certificate, Migration Certificate, Entrance scorecard, Category certificate (if applicable), Passport size photos (6), Aadhar card, Medical fitness certificate.","Admissions and Administration"
"What is admission fee?","One-time admission fee: ₹25,000 (non-refundable). Includes registration, ID card, library card, orientation. Paid at time of admission.","Admissions and Administration"
"Are there any hidden charges?","No hidden charges. Transparent fee structure. Additional: Exam form (₹600), ID card duplicate (₹500), Library fine (if books overdue), Hostel damage (if any).","Admissions and Administration"
"What about international student fees?","International: $5,000-8,000/year depending on program. Includes tuition. Hostel extra. Scholarships available for SAARC students.","Admissions and Administration"
"Tell me about document verification","Original + 2 photocopies all certificates. Done at admission counter. Aadhar mandatory. Takes 30 minutes.","Admissions and Administration"
"What is document verification at LPU?","Original + 2 photocopies all certificates. Done at admission counter. Aadhar mandatory. Takes 30 minutes.","Admissions and Administration"
"Tell me about scholarship amount","Based on LPUNEST rank: Top 1%=100%, Top 5%=75%, Top 10%=50%, Top 20%=25%. Maintained if CGPA>7.5.","Admissions and Administration"
"What is scholarship amount at LPU?","Based on LPUNEST rank: Top 1%=100%, Top 5%=75%, Top 10%=50%, Top 20%=25%. Maintained if CGPA>7.5.","Admissions and Administration"
"Tell me about course duration","BTech: 4 years (8 semesters). MBA: 2 years. BBA/BCA: 3 years. Hotel Management: 4 years.","Admissions and Administration"
"What is course duration at LPU?","BTech: 4 years (8 semesters). MBA: 2 years. BBA/BCA: 3 years. Hotel Management: 4 years.","Admissions and Administration"
"Tell me about seat reservation","15% SC, 7.5% ST, 27% OBC as per government norms. PwD: 5%. Sports quota: 3%. NRI quota: 15%.","Admissions and Administration"
"What is seat reservation at LPU?","15% SC, 7.5% ST, 27% OBC as per government norms. PwD: 5%. Sports quota: 3%. NRI quota: 15%.","Admissions and Administration"
"Tell me about hostel allocation","First-come-first-serve. Applied during admission. AC/Non-AC choice. Cannot change mid-year. Blocks assigned by year/department.","Admissions and Administration"
"What is hostel allocation at LPU?","First-come-first-serve. Applied during admission. AC/Non-AC choice. Cannot change mid-year. Blocks assigned by year/department.","Admissions and Administration"
"Tell me about lateral entry","Diploma holders direct to 2nd year. 60% in diploma mandatory. Entrance test required. Limited seats.","Admissions and Administration"
"What is lateral entry at LPU?","Diploma holders direct to 2nd year. 60% in diploma mandatory. Entrance test required. Limited seats.","Admissions and Administration"
"Tell me about migration process","Submit TC, migration from previous university. Processing: 2-3 weeks. Required for degree. Contact Academic Affairs.","Admissions and Administration"
"What is migration process at LPU?","Submit TC, migration from previous university. Processing: 2-3 weeks. Required for degree. Contact Academic Affairs.","Admissions and Administration"
"Tell me about course change","Allowed within first semester. Subject to availability. May need to pay difference. HOD approval required.","Admissions and Administration"
"What is course change at LPU?","Allowed within first semester. Subject to availability. May need to pay difference. HOD approval required.","Admissions and Administration"
"What are hostel facilities?","AC/Non-AC rooms, WiFi, laundry, gym, common room, TV, indoor games, 24/7 security, CCTV, biometric entry, warden, mess, medical room. Boys: Blocks 30-41. Girls: Blocks 14-28.","Campus Life"
"What is hostel timing?","Entry: Anytime. Exit: 7 PM weekdays (10 PM with permission). No time limit weekends with gate pass. Sunday: Full day out allowed. Late entry needs warden approval.","Campus Life"
"How many students per room?","AC: 2 students. Non-AC: 3-4 students. Rooms: Bed, study table, chair, almirah, fan, lights. Attached bathroom in all rooms.","Campus Life"
"Is WiFi available in hostel?","Yes! 100 Mbps speed. 24/7 available. Coverage in all blocks. Login with UMS credentials. Free for all students. Unlimited data.","Campus Life"
"What is hostel food menu?","Breakfast: Parathas, bread, jam, milk, tea. Lunch: Roti, rice, dal, sabzi, salad. Dinner: Similar to lunch. Menu changes daily. Special menu on festivals.","Campus Life"
"Can visitors come to hostel?","Yes, in reception area only. Parents allowed in rooms with warden permission. Timing: 9 AM - 6 PM. Guest house available for overnight stay.","Campus Life"
"Is laundry facility available?","Yes, each block has laundry room. Washing machines free. Dryer available. Iron boards. List clothes. Collect next day. Commercial laundry also available.","Campus Life"
"Where to eat on campus?","Multiple options: Main mess, Food courts (A block, P block), Subway, Domino's, McDonald's, Café Coffee Day, Nescafe, Local dhabas. Open till 11 PM.","Campus Life"
"What is mess timing?","Breakfast: 7:30-9:30 AM. Lunch: 12-2 PM. Evening snacks: 4-6 PM. Dinner: 7-9:30 PM. Sunday special breakfast till 11 AM.","Campus Life"
"Can I skip mess and get refund?","No refund for skipped meals. Mess compulsory for hostel students. Can opt out next semester only. Must inform 1 month advance.","Campus Life"
"Are there food courts?","Yes! A-Block food court (largest), P-Block food court. Outlets: Haldiram, Burger King, Pizza Hut, Chinese stalls, South Indian. Cards accepted.","Campus Life"
"Is outside food allowed?","Yes! Swiggy/Zomato delivers on campus. Receive at gate. Many restaurants nearby. Can order during hostel hours. No restriction.","Campus Life"
"What sports facilities available?","Cricket ground, football field, basketball court, volleyball court, tennis court, badminton hall, swimming pool, gym, yoga center, table tennis, chess room. Professional coaches available.","Campus Life"
"Is there a swimming pool?","Yes! Olympic size pool. Separate timings for boys/girls. Summer: 6 AM-8 PM. Winter: 8 AM-6 PM. Certified lifeguards. Swimming classes available.","Campus Life"
"Where is the gym?","Multiple gyms: Boys hostel gym (Block 34), Girls hostel gym (Block 18), Main campus gym (Sports complex). Timings: 6 AM-10 PM. Free for students. Professional trainers.","Campus Life"
"Is there a hospital on campus?","Yes! 24/7 medical center near Block 24. Doctors, nurses always available. Pharmacy, ambulance, emergency care. Tie-up with Fortis hospital for serious cases.","Campus Life"
"What is library timing?","Regular: 8 AM - 8 PM. During exams: 24/7. Central library (6 floors). Digital library. Study rooms. Group discussion areas. AC. Silent zones.","Campus Life"
"How many books can I issue?","3 books for 15 days. Can renew online twice. Fine: ₹2/day after due date. Lost book: Pay cost + ₹500 processing fee.","Campus Life"
"Information about clubs and societies?","100+ clubs: Coding, Robotics, Dance, Music, Drama, Photography, Literature, Social service. Join during orientation. Free participation.","Campus Life"
"Tell me about clubs and societies at LPU","100+ clubs: Coding, Robotics, Dance, Music, Drama, Photography, Literature, Social service. Join during orientation. Free participation.","Campus Life"
"Information about WiFi on campus?","Full campus WiFi coverage. Login with UMS ID. Speed: 100 Mbps. Library: High-speed. Unlimited data. Works in classrooms, library, hostels.","Campus Life"
"Tell me about WiFi on campus at LPU","Full campus WiFi coverage. Login with UMS ID. Speed: 100 Mbps. Library: High-speed. Unlimited data. Works in classrooms, library, hostels.","Campus Life"
"Information about banks on campus?","Punjab National Bank, SBI, HDFC ATMs. Main branch near admin block. Account opening drives regularly. Salary accounts for placed students.","Campus Life"
"Tell me about banks on campus at LPU","Punjab National Bank, SBI, HDFC ATMs. Main branch near admin block. Account opening drives regularly. Salary accounts for placed students.","Campus Life"
"Information about shopping on campus?","University mall: Stationery, xerox, printing, books, snacks, groceries. Reliance store. Medical shop. Salons. Timings: 9 AM-9 PM.","Campus Life"
"Tell me about shopping on campus at LPU","University mall: Stationery, xerox, printing, books, snacks, groceries. Reliance store. Medical shop. Salons. Timings: 9 AM-9 PM.","Campus Life"
"Information about transport facilities?","University buses to Phagwara, Jalandhar, Chandigarh. Affordable rates. Regular schedule. Can book via app. Parking for personal vehicles.","Campus Life"
"Tell me about transport facilities at LPU","University buses to Phagwara, Jalandhar, Chandigarh. Affordable rates. Regular schedule. Can book via app. Parking for personal vehicles.","Campus Life"
"Information about parking?","Free parking for students. Separate two-wheeler, four-wheeler zones. Covered parking available. Registration required. Helmet mandatory for bikes.","Campus Life"
"Tell me about parking at LPU","Free parking for students. Separate two-wheeler, four-wheeler zones. Covered parking available. Registration required. Helmet mandatory for bikes.","Campus Life"
"Information about medical emergency?","Call 181 (campus emergency). 24/7 ambulance. Nurses in hostels. Hospital tie-ups. Insurance available. Medical room in every hostel block.","Campus Life"
"Tell me about medical emergency at LPU","Call 181 (campus emergency). 24/7 ambulance. Nurses in hostels. Hospital tie-ups. Insurance available. Medical room in every hostel block.","Campus Life"
"What is LPU placement record?","900+ companies visit annually. Highest: ₹1.05 crore (International). Average CSE: ₹8.5 LPA. 90%+ placement rate. Top recruiters: Google, Microsoft, Amazon, Adobe, Intel.","Placements and Career"
"Which companies visit for placements?","Tech Giants: Google, Microsoft, Amazon, Adobe, Oracle, Intel, Cognizant, TCS, Infosys, Wipro, HP, Dell, Cisco, VMware. Core: L&T, Tata Motors. Banking: ICICI, HDFC. Consulting: Deloitte, PwC.","Placements and Career"
"What is highest package?","Highest International: ₹1.05 crore (Google, Microsoft). Highest Domestic: ₹64 LPA (Amazon). Highest CSE: ₹54 LPA. Highest MBA: ₹32 LPA. Highest Design: ₹28 LPA.","Placements and Career"
"What is average package?","Overall average: ₹6.5 LPA. CSE average: ₹8.5 LPA. Mechanical: ₹5.5 LPA. Civil: ₹4.5 LPA. MBA: ₹7 LPA. Design: ₹6 LPA. Mass recruiters: ₹3.5-4.5 LPA.","Placements and Career"
"What is eligibility for placements?","Minimum 6.0 CGPA (some companies: 7.0). 75% attendance. No active backlogs. No year gap (except COVID). No poor disciplinary record. Communication skills important.","Placements and Career"
"When do placements start?","Training: From 5th semester. On-campus drives: 7th semester onwards. Final placements: January-April. Summer internships: May-July. PPO conversions: Final year.","Placements and Career"
"What training is provided?","Aptitude training, Coding practice, Group discussions, Mock interviews, Resume building, Communication skills, Technical skills, Personality development. Free training from 5th semester.","Placements and Career"
"How to register for placements?","Automatic registration if eligible. Update resume on placement portal. Maintain 6.0+ CGPA. Attend mandatory training sessions. Upload documents. Keep checking portal for drives.","Placements and Career"
"Can I appear in multiple companies?","Yes, until you get placed. After 1st offer: Can appear if package<₹10 LPA. After 2nd offer: Cannot appear. PPO holders: Can sit for better packages.","Placements and Career"
"What is off-campus placement support?","Off-campus cell helps apply to companies. Resume forwarding. Referrals. LinkedIn connects. Startup opportunities. Freelancing guidance. Alumni network support.","Placements and Career"
"How to get internship?","2 ways: 1) Campus internship drives (January-March). 2) Apply independently via portal. Minimum 5.0 CGPA. Companies: Amazon, Microsoft, Adobe visit for summer internships.","Placements and Career"
"Is internship mandatory?","Yes! Minimum 6 weeks internship mandatory in final year. Can be training/project. Certificate required for degree. Stipend not mandatory but preferred.","Placements and Career"
"What is average internship stipend?","Tech companies: ₹20,000-50,000/month. Core Engineering: ₹10,000-15,000/month. Unpaid: Some startups. Top: Google, Microsoft (₹80,000+/month). Average overall: ₹15,000/month.","Placements and Career"
"Can internship convert to full-time?","Yes! PPO (Pre-Placement Offer). Good performance during internship = PPO. 60-70% interns get PPO. Can still sit for better opportunities on campus.","Placements and Career"
"How about aptitude test preparation?","Daily practice from AMCAT, TCS pattern. Mock tests. Training from 5th semester. Books: R.S. Aggarwal, Arun Sharma. Online: IndiaBix.","Placements and Career"
"Information on aptitude test preparation","Daily practice from AMCAT, TCS pattern. Mock tests. Training from 5th semester. Books: R.S. Aggarwal, Arun Sharma. Online: IndiaBix.","Placements and Career"
"How about coding interview preparation?","LeetCode, HackerRank, CodeChef practice. DSA mandatory. Company-specific patterns. Mock interviews. Peer programming. Mentorship available.","Placements and Career"
"Information on coding interview preparation","LeetCode, HackerRank, CodeChef practice. DSA mandatory. Company-specific patterns. Mock interviews. Peer programming. Mentorship available.","Placements and Career"
"How about resume tips?","1-page resume. Projects highlighted. Skills section. CGPA if >7.5. Achievements. No spelling errors. ATS-friendly format. Updated regularly.","Placements and Career"
"Information on resume tips","1-page resume. Projects highlighted. Skills section. CGPA if >7.5. Achievements. No spelling errors. ATS-friendly format. Updated regularly.","Placements and Career"
"How about interview tips?","Research company. Prepare projects. DS-Algo strong. Confidence. Professional attire. Body language. STAR method. Ask questions. Follow up.","Placements and Career"
"Information on interview tips","Research company. Prepare projects. DS-Algo strong. Confidence. Professional attire. Body language. STAR method. Ask questions. Follow up.","Placements and Career"
"How about mass recruiters?","TCS, Infosys, Wipro, Cognizant, Accenture. Package: ₹3.5-4.5 LPA. Large hiring. Good for job security. Training provided. Bulk offers.","Placements and Career"
"Information on mass recruiters","TCS, Infosys, Wipro, Cognizant, Accenture. Package: ₹3.5-4.5 LPA. Large hiring. Good for job security. Training provided. Bulk offers.","Placements and Career"
"How about dream companies?","Google, Microsoft, Amazon, Adobe, Goldman Sachs. Package: ₹15-64 LPA. Tough interviews. Limited seats. Best for high CGPA students.","Placements and Career"
"Information on dream companies","Google, Microsoft, Amazon, Adobe, Goldman Sachs. Package: ₹15-64 LPA. Tough interviews. Limited seats. Best for high CGPA students.","Placements and Career"
"How about startup opportunities?","50+ startups visit. Packages: ₹6-12 LPA. Good learning. Fast growth. Stock options. Flexible culture. Risk vs established firms.","Placements and Career"
"Information on startup opportunities","50+ startups visit. Packages: ₹6-12 LPA. Good learning. Fast growth. Stock options. Flexible culture. Risk vs established firms.","Placements and Career"
"How about core engineering placements?","L&T, Tata Motors, Mahindra, Ashok Leyland. Package: ₹4-7 LPA. Field jobs. Good benefits. Government PSUs also visit.","Placements and Career"
"Information on core engineering placements","L&T, Tata Motors, Mahindra, Ashok Leyland. Package: ₹4-7 LPA. Field jobs. Good benefits. Government PSUs also visit.","Placements and Career"
"What is dress code?","Monday-Friday: Formal (shirt, trousers, shoes). Saturday-Sunday: Casual allowed. Hostel: Casual anytime. ID card mandatory. No slippers in academic blocks.","Rules Safety and Grievance"
"Is ragging allowed?","Absolutely NO ragging. Zero tolerance policy. 24/7 helpline: 1800-180-5522. Immediate action. Police complaint. Expulsion for offenders. Anonymous complaints accepted.","Rules Safety and Grievance"
"What is ID card policy?","Mandatory everywhere. Entry gates, exams, library. Wear around neck. Lost: Apply for duplicate (₹500). Lending ID: Punishable. Required for all activities.","Rules Safety and Grievance"
"Can I use mobile in class?","No! Strict ban. Must be on silent. Teachers can confiscate. Fine: ₹500. Repeat offense: Parents called. Use only in breaks. Photo/video in class: Prohibited.","Rules Safety and Grievance"
"How to apply for duty leave?","UMS → RMS → Duty Leave → Fill reason → Upload supporting documents → Submit to HOD → Approval in 2-3 days. Valid for 3-7 days. Medical certificate if health reason.","Rules Safety and Grievance"
"What is medical leave procedure?","Get doctor's certificate → Upload to UMS RMS portal → Submit to warden + HOD → Approval in 24 hours. Counted in attendance if approved. Hospital admission: Longer leave possible.","Rules Safety and Grievance"
"How many days leave allowed?","Medical Leave: 10 days/semester with certificate. Duty Leave: 5 days/semester for events. Emergency: Case by case. Festival leave: As per calendar. Total: Max 10% of classes.","Rules Safety and Grievance"
"What are disciplinary actions?","Warnings: Verbal → Written → Parents called. Fines: ₹500-5,000. Suspension: 1 week to 1 semester. Rustication: Permanent removal for serious offenses. All recorded.","Rules Safety and Grievance"
"What is anti-ragging policy?","Comprehensive policy. Awareness sessions. Student committees. Faculty vigilance. CCTV monitoring. Surprise checks. Strict punishments. Website: antiragging.in","Rules Safety and Grievance"
"How to file grievance?","Online: UMS → Grievance Portal → File complaint → Track status. Offline: Write to Student Welfare office. Anonymous: Drop in suggestion box. Response: 7 working days.","Rules Safety and Grievance"
"What is unfair means case (UMC)?","Cheating in exams = UMC. Punishments: Cancellation of exam, Entire semester cancelled, Suspension, Expulsion (repeat offense). Parents informed. Shows on records.","Rules Safety and Grievance"
"What are hostel discipline rules?","In by 10 PM. Noise: Before 11 PM. No alcohol/smoking. No opposite gender in rooms. Room inspection monthly. Cleanliness mandatory. Damage charges applicable.","Rules Safety and Grievance"
"Tell me about hostel discipline","In by 10 PM. Noise: Before 11 PM. No alcohol/smoking. No opposite gender in rooms. Room inspection monthly. Cleanliness mandatory. Damage charges applicable.","Rules Safety and Grievance"
"What are exam hall rules rules?","ID card compulsory. 15 min before time. No electronic devices. No talking. Blue/black pen only. Don't cross limit lines. Leave by permission. No cheating.","Rules Safety and Grievance"
"Tell me about exam hall rules","ID card compulsory. 15 min before time. No electronic devices. No talking. Blue/black pen only. Don't cross limit lines. Leave by permission. No cheating.","Rules Safety and Grievance"
"What are library rules rules?","Silence mandatory. No food/drinks. No bags inside. Deposit at counter. Books: 15 days max. Fine for late return. No tearing pages. Study seats: First come.","Rules Safety and Grievance"
"Tell me about library rules","Silence mandatory. No food/drinks. No bags inside. Deposit at counter. Books: 15 days max. Fine for late return. No tearing pages. Study seats: First come.","Rules Safety and Grievance"
"What are security measures rules?","24/7 security guards. CCTV coverage. Biometric entry. Night patrolling. Emergency numbers displayed. Fire safety equipment. Regular safety drills.","Rules Safety and Grievance"
"Tell me about security measures","24/7 security guards. CCTV coverage. Biometric entry. Night patrolling. Emergency numbers displayed. Fire safety equipment. Regular safety drills.","Rules Safety and Grievance"
"What are COVID protocols rules?","Mask mandatory. Sanitizers available. Social distancing. Temperature checks. Vaccination preferred. Quarantine facility. Online classes backup ready.","Rules Safety and Grievance"
"Tell me about COVID protocols","Mask mandatory. Sanitizers available. Social distancing. Temperature checks. Vaccination preferred. Quarantine facility. Online classes backup ready.","Rules Safety and Grievance"
"What is LPU address?","Lovely Professional University, Phagwara-Delhi G.T. Road (NH-1), Phagwara, Punjab - 144411, India. Near Jalandhar (25 km). 2 hours from Chandigarh.","General"
"LPU contact number?","Main helpline: +91-1824-517000. Admissions: +91-1824-404404. International: +91-1824-515000. Email: info@lpu.co.in. 24/7 available.","General"
"What is UMS?","University Management System. Student portal: ums.lpu.in. Login: Student ID + password. Access: Attendance, marks, fees, timetable, library, placement, everything.","General"
"How much is LPU campus area?","600+ acres sprawling campus. 50+ buildings. World's 2nd largest single campus. Distance end-to-end: ~3 km. Shuttle buses available.","General"
"Is LPU UGC approved?","Yes! UGC approved. NAAC A++ accredited. Deemed-to-be-University under Section 3 of UGC Act 1956. All degrees valid.","General"
"LPU ranking?","NIRF Ranking: University category top 30. QS World Rankings: 801-1000 band. India Today: Top 10 private universities. Week: #1 private university.","General"
"Which railway station nearest?","Phagwara Junction (3 km). Good connectivity. University bus available. Auto: ₹50-80. Walking distance. Jalandhar City (25 km) for more trains.","General"
"Which airport nearest?","Chandigarh Airport (120 km, 2 hours). Amritsar Airport (80 km, 1.5 hours). Delhi Airport (350 km, 6 hours). Cab facility available.","General"
"Is LPU coeducational?","Yes, fully coeducational. Equal opportunities. Separate hostels for boys and girls. Mixed classes. Equal representation in all activities.","General"
"Total students in LPU?","30,000+ students. 70+ countries represented. 3,000+ international students. Faculty: 2,000+. Staff: 4,000+. Largest private university.","General"
"Who is LPU chancellor?","Mr. Ashok Kumar Mittal, Founder Chancellor. Mrs. Rashmi Mittal, Pro Chancellor. Mr. Lovjeet Singh Mittal, Member. Visionary leaders.","General"
"When was LPU established?","Established: 2005 as LPU. Earlier Lovely Institute (1995). 20+ years of excellence. Rapid growth. Now India's largest private university.","General"
